item_code,model_name,item_category,phase_in_at,vertical_name,sku
101.00313,On-T,Apparel,2021-08-19T00:00:00Z,Performance All Day,On-T M Mulberry
101.00090,On-T,Apparel,2021-10-14T00:00:00Z,Performance All Day,On-T M Olive
201.00266,On-T,Apparel,2021-02-11T00:00:00Z,Performance All Day,On-T W Mineral
201.00268,On-T,Apparel,2021-02-11T00:00:00Z,Performance All Day,On-T W Navy
201.00267,On-T,Apparel,2021-08-19T00:00:00Z,Performance All Day,On-T W Mulberry
201.00397,On-T,Apparel,2021-02-11T00:00:00Z,Performance All Day,On-T W Black
161.00409,On-T,Apparel,2022-02-03T00:00:00Z,Performance All Day,On-T M White
161.00410,On-T,Apparel,2022-02-03T00:00:00Z,Performance All Day,On-T M Black
161.00411,On-T,Apparel,2022-03-03T00:00:00Z,Performance All Day,On-T M Olive
161.00412,On-T,Apparel,2022-03-03T00:00:00Z,Performance All Day,On-T M Surf
261.00413,On-T,Apparel,2022-02-03T00:00:00Z,Performance All Day,On-T W Black
261.00414,On-T,Apparel,2022-02-03T00:00:00Z,Performance All Day,On-T W White
261.00415,On-T,Apparel,2022-03-03T00:00:00Z,Performance All Day,On-T W Fiji
413.01254,On-T,Apparel,2022-04-28T00:00:00Z,Performance All Day,On-T 3 M White
413.01255,On-T,Apparel,2022-04-28T00:00:00Z,Performance All Day,On-T 3 M Black
403.01247,On-T,Apparel,2022-04-28T00:00:00Z,Performance All Day,On-T 3 W Black
403.01248,On-T,Apparel,2022-04-28T00:00:00Z,Performance All Day,On-T 3 W White
19.99195,Cloud,Shoes,2021-06-29T00:00:00Z,Performance All Day,Cloud M Zinc | White
19.99196,Cloud,Shoes,2021-06-29T00:00:00Z,Performance All Day,Cloud M Ox | White
19.99198,Cloud,Shoes,2021-06-29T00:00:00Z,Performance All Day,Cloud M Lead | Black
19.99193,Cloud,Shoes,2021-06-29T00:00:00Z,Performance All Day,Cloud W Ruby | White
19.99194,Cloud,Shoes,2021-06-29T00:00:00Z,Performance All Day,Cloud W Glacier | White
19.99197,Cloud,Shoes,2021-06-29T00:00:00Z,Performance All Day,Cloud W Tide | Magnet
59.98986,Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M All Black
59.98986, Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M All Black
59.98919,Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Black | White
59.98919, Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Black | White
59.98918,Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M All White
59.98918, Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M All White
59.98916,Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Midnight | White
59.98916, Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Midnight | White
59.98915,Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Niagara | Black
59.98915, Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Niagara | Black
59.98913,Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Chai | Magnet
59.98913, Cloud 5,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 M Chai | Magnet
